Client / Brokerage,,,,,,,,
Sub-account name,,,,,,,,
Location ID,,,,,,,,
Installer,,,,,,,,
Go-live target,,,,,,,,
Support opp link,,,,,,,,
Status,,,,,,,,
,,,,,,,,
Section,Step,Task,Done,Notes,Owner,Date done,Blocker
5. Remap - Calendar,5.3,Native confirmation + reminders On,FALSE,,,,
5. Remap - Calendar,5.4,REOS Scheduler Appointment Booking → this location REOS Consult,FALSE,,,,
5. Remap - Calendar,5.5,Appointment Booked workflow calendar filter → this calendar,FALSE,,,,
5. Remap - Bots & channels,5.6,Enable SMS on Concierge (and others as needed),FALSE,,,,
5. Remap - Bots & channels,5.7,Connect FB/IG if used; verify source tags / bridges,FALSE,,,,
5. Remap - Bots & channels,5.8,Stop bot Off on Concierge/Scheduler (Compliance Guard owns opt-out),FALSE,,,,
5. Remap - Bots & channels,5.9,Suggestive while testing then Autopilot when live,FALSE,,,,
5. Remap - Bots & channels,5.10,Primary bot: only one primary,FALSE,,,,
5. Remap - Forms & sources,5.11,"Client form(s) mapped: name, email, phone",FALSE,,,,
5. Remap - Forms & sources,5.12,Form still triggers REOS Intake,FALSE,,,,
5. Remap - Forms & sources,5.13,Meta lead forms / inbound SMS rules confirmed,FALSE,,,,
5. Remap - Forms & sources,5.14,Avoid double Intake (Form + Contact Created),FALSE,,,,
6. Workflow people actions,6.1,Coordinator assign / round-robin users set,FALSE,,,,
6. Workflow people actions,6.2,Hot / Warm / Cold / Handoff notification recipients set,FALSE,,,,
6. Workflow people actions,6.3,Compliance Guard notify recipient set,FALSE,,,,
6. Workflow people actions,6.4,Scout notify recipient set,FALSE,,,,
6. Workflow people actions,6.5,Appointment Booked agent notify set,FALSE,,,,
6. Workflow people actions,6.6,Researcher needs_contact_info notify set,FALSE,,,,
7. Client prompt tweaks (optional),7.1,Brokerage name / market / tone updated in bot prompts if needed,FALSE,,,,
7. Client prompt tweaks (optional),7.2,Knowledge Base docs for this client if used,FALSE,,,,
8. Private Integration (optional),8.1,Create PIT in this sub-account,FALSE,,,,
8. Private Integration (optional),8.2,Store Location ID + token in secrets for this client,FALSE,,,,
8. Private Integration (optional),8.3,Skip seed:fields if Snapshot already brought fields,FALSE,,,,
9. Go-live smoke test,9.1,Researcher: phone → channel_sms + researcher_done,FALSE,,,,
9. Go-live smoke test,9.2,Researcher: no contact → needs_contact_info,FALSE,,,,
9. Go-live smoke test,9.3,Coordinator: exclusive Concierge / Scheduler / Follow-Up Active,FALSE,,,,
9. Go-live smoke test,9.4,Compliance: opted_out → all bots Inactive,FALSE,,,,
9. Go-live smoke test,9.5,Hot → ready_to_book → Scheduler → book → appt_booked + Appointment Set,FALSE,,,,
9. Go-live smoke test,9.6,Warm/Cold → Follow-Up + nurture path,FALSE,,,,
9. Go-live smoke test,9.7,Handoff → bots off + agent notify,FALSE,,,,
9. Go-live smoke test,9.8,Form submit → Intake → full path on real test phone,FALSE,,,,
10. Handoff to client,10.1,Logins + roles confirmed,FALSE,,,,
10. Handoff to client,10.2,"Agents know queues: Ready to Book, Handoff, Nurture, Needs Contact",FALSE,,,,
10. Handoff to client,10.3,Calendar users can take bookings,FALSE,,,,
10. Handoff to client,10.4,Support URL for help tickets shared,FALSE,,,,
10. Handoff to client,10.5,Mark location live / Autopilot On,FALSE,,,,
10. Handoff to client,10.6,Move Support onboarding opp → Live then Closed,FALSE,,,,
10. Handoff to client,10.7,Send your-account-is-ready email with login link,FALSE,,,,
Support tracker stage,,,FALSE,New → Snapshot loaded → Connections → Testing → Live → Closed,,,
